Index,Date,Open,High,Low,Close,Adj Close,CloseUSD
HSI,9/10/1996,11262.09961,11334.40039,11215.09961,11223.59961,11223.59961,1459.067949
HSI,9/11/1996,11224.5,11266.09961,11180.09961,11236.40039,11236.40039,1460.732051
HSI,9/12/1996,11256.29981,11292.2002,11221.79981,11251.7002,11251.7002,1462.721026
HSI,9/13/1996,11256.90039,11371.29981,11255.29981,11369,11369,1477.97
HSI,9/16/1996,11485,11584.29981,11485,11567.90039,11567.90039,1503.827051
HSI,9/17/1996,11613.5,11645.40039,11559.40039,11621.59961,11621.59961,1510.807949
HSI,9/18/1996,11601.90039,11625.90039,11523.09961,11594,11594,1507.22
HSI,9/19/1996,11574.5,11586.7002,11534.2002,11586.7002,11586.7002,1506.271026
HSI,9/20/1996,11600.79981,11642.5,11558.40039,11592.40039,11592.40039,1507.012051
HSI,9/23/1996,11600.79981,11684,11600.7002,11622.09961,11622.09961,1510.872949
HSI,9/24/1996,11586.59961,11615.5,11538.79981,11546.7002,11546.7002,1501.071026
HSI,9/25/1996,11527,11653.40039,11512.79981,11603.5,11603.5,1508.455
HSI,9/26/1996,11635.59961,11668.7002,11594.59961,11636.09961,11636.09961,1512.692949
HSI,9/27/1996,11728.5,11788.40039,11690.5,11759.40039,11759.40039,1528.722051
HSI,9/30/1996,11783.29981,11906,11778.09961,11902.40039,11902.40039,1547.312051
HSI,10/1/1996,11916.7002,11930.2002,11857.40039,11921.2002,11921.2002,1549.756026
HSI,10/2/1996,11932.59961,11956.2002,11859.5,11951.90039,11951.90039,1553.747051
HSI,10/3/1996,11981.29981,12022.40039,11938.29981,12014.59961,12014.59961,1561.897949
HSI,10/4/1996,11985,11994,11881.59961,11905.5,11905.5,1547.715
HSI,10/7/1996,12013.59961,12153.5,12013.59961,12133.09961,12133.09961,1577.302949
HSI,10/8/1996,12127.79981,12179,12103.59961,12106.79981,12106.79981,1573.883975
HSI,10/9/1996,12094.29981,12250.59961,12059.90039,12250.59961,12250.59961,1592.577949
HSI,10/10/1996,12264.29981,12398.29981,12231.7002,12242.5,12242.5,1591.525
HSI,10/11/1996,12235.59961,12289,12201.09961,12218.40039,12218.40039,1588.392051
HSI,10/14/1996,12275.09961,12354.7002,12274.5,12330.40039,12330.40039,1602.952051
HSI,10/15/1996,12352.09961,12490.7002,12337.59961,12490.7002,12490.7002,1623.791026
HSI,10/16/1996,12517.29981,12602.29981,12370.40039,12396.2002,12396.2002,1611.506026
HSI,10/17/1996,12394.79981,12461.7002,12325.79981,12436.79981,12436.79981,1616.783975
HSI,10/18/1996,12473.5,12543.79981,12469.40039,12510.09961,12510.09961,1626.312949
HSI,10/22/1996,12532.5,12542.29981,12423.2002,12444.7002,12444.7002,1617.811026
HSI,10/23/1996,12418.5,12492.40039,12368,12492.40039,12492.40039,1624.012051
HSI,10/24/1996,12475.2002,12535.2002,12431.2002,12473.59961,12473.59961,1621.567949
HSI,10/25/1996,12410.90039,12420.40039,12343.29981,12388.40039,12388.40039,1610.492051
HSI,10/28/1996,12370.79981,12380.40039,12244.90039,12262.79981,12262.79981,1594.163975
HSI,10/29/1996,12229.29981,12244.79981,12172.79981,12192.2002,12192.2002,1584.986026
HSI,10/30/1996,12209.29981,12428.2002,12209.29981,12405.5,12405.5,1612.715
HSI,10/31/1996,12414.5,12496.59961,12377.90039,12477.59961,12477.59961,1622.087949
HSI,11/1/1996,12503.09961,12562.09961,12494.5,12529.29981,12529.29981,1628.808975
HSI,11/4/1996,12537.79981,12582.7002,12518.79981,12559.40039,12559.40039,1632.722051
HSI,11/5/1996,12566.7002,12616.40039,12502.7002,12502.7002,12502.7002,1625.351026
HSI,11/6/1996,12552.5,12779.09961,12472.79981,12775.5,12775.5,1660.815
HSI,11/7/1996,12820.90039,12898.29981,12730.7002,12735.29981,12735.29981,1655.588975
HSI,11/8/1996,12721.5,12776.5,12667.7002,12751.2002,12751.2002,1657.656026
HSI,11/11/1996,12743.09961,12816.40039,12670.7002,12771.90039,12771.90039,1660.347051
HSI,11/12/1996,12778.5,12818,12731.29981,12806.29981,12806.29981,1664.818975
HSI,11/13/1996,12819.79981,12951.90039,12819.79981,12943.7002,12943.7002,1682.681026
HSI,11/14/1996,12939.40039,13009.7002,12911.59961,13004.79981,13004.79981,1690.623975
HSI,11/15/1996,13020.09961,13054.90039,12887.5,12889.40039,12889.40039,1675.622051
HSI,11/18/1996,12899.29981,13094.40039,12850.2002,13042.79981,13042.79981,1695.563975
HSI,11/19/1996,13031.59961,13183,13006.09961,13056.90039,13056.90039,1697.397051
HSI,11/20/1996,13112.79981,13229.2002,13112.79981,13167.2002,13167.2002,1711.736026
HSI,11/21/1996,13162.7002,13237.7002,13028,13099.59961,13099.59961,1702.947949
HSI,11/22/1996,13142.40039,13189.29981,13044.7002,13116.79981,13116.79981,1705.183975
HSI,11/25/1996,13172.40039,13261.29981,13138.79981,13239.40039,13239.40039,1721.122051
HSI,11/26/1996,13310.7002,13495.40039,13310.7002,13485.29981,13485.29981,1753.088975
HSI,11/27/1996,13463.2002,13531,13347.59961,13531,13531,1759.03
HSI,11/28/1996,13672.2002,13744.29981,13300.09961,13310.79981,13310.79981,1730.403975
HSI,11/29/1996,13312.09961,13447.7002,13291.59961,13393.90039,13393.90039,1741.207051
