Index,Date,Open,High,Low,Close,Adj Close,CloseUSD
N225,4/11/1991,26308.41016,26444.13086,26211.07031,26425.18945,26425.18945,264.2518945
N225,4/12/1991,26429.14063,26606.66992,26392.53906,26582.5,26582.5,265.825
N225,4/15/1991,26620.08008,26896.14063,26620.08008,26695.5293,26695.5293,266.955293
N225,4/16/1991,26745.83008,26894.26953,26615.34961,26813.30078,26813.30078,268.1330078
N225,4/17/1991,26859.34961,27092.01953,26859.34961,26980.36914,26980.36914,269.8036914
N225,4/18/1991,26994.76953,27042.90039,26699.66992,26798.90039,26798.90039,267.9890039
N225,4/19/1991,26753.13086,26753.13086,26516.82031,26541.9707,26541.9707,265.419707
N225,4/22/1991,26492.44922,26492.44922,26237.00977,26237.00977,26237.00977,262.3700977
N225,4/23/1991,26188.9707,26568.89063,26078.31055,26491.57031,26491.57031,264.9157031
N225,4/24/1991,26516.13086,26585.66016,26329.2207,26330.21094,26330.21094,263.3021094
N225,4/25/1991,26316.10938,26341.84961,26037.86914,26038.85938,26038.85938,260.3885938
N225,4/26/1991,26100.21094,26256.03906,25994.2793,26123.67969,26123.67969,261.2367969
N225,4/30/1991,26147.34961,26258.60938,26094.08984,26111.25,26111.25,261.1125
N225,5/1/1991,26193.60938,26529.83984,26193.60938,26489,26489,264.89
N225,5/2/1991,26518.49023,26648.58008,26414.43945,26477.85938,26477.85938,264.7785938
N225,5/7/1991,26500.15039,26523.61914,26326.35938,26342.14063,26342.14063,263.4214063
N225,5/8/1991,26312.65039,26367.99023,26178.2207,26309.78906,26309.78906,263.0978906
N225,5/9/1991,26301.31055,26470.35938,26290.35938,26438.5,26438.5,264.385
N225,5/10/1991,26440.48047,26449.06055,26212.64063,26274.28906,26274.28906,262.7428906
N225,5/13/1991,26215.00977,26338.49023,26092.2207,26093.19922,26093.19922,260.9319922
N225,5/14/1991,26083.53906,26283.46094,26030.08008,26030.08008,26030.08008,260.3008008
N225,5/15/1991,26001.67969,26001.67969,25741.68945,25822.4707,25822.4707,258.224707
N225,5/16/1991,25762.30078,25771.38086,25497.48047,25520.26953,25520.26953,255.2026953
N225,5/17/1991,25582.90039,25789.13086,25582.90039,25701.93945,25701.93945,257.0193945
N225,5/20/1991,25731.03906,25738.73047,25330.69922,25523.0293,25523.0293,255.230293
N225,5/21/1991,25461.18945,25556.4707,25227.64063,25481.21094,25481.21094,254.8121094
N225,5/22/1991,25515.03906,25768.51953,25398.66016,25398.66016,25398.66016,253.9866016
N225,5/23/1991,25466.32031,25721.26953,25350.82031,25643.65039,25643.65039,256.4365039
N225,5/24/1991,25677.88086,25741.09961,25451.33008,25529.14063,25529.14063,255.2914063
N225,5/27/1991,25543.74023,25638.13086,25353.49023,25425.88086,25425.88086,254.2588086
N225,5/28/1991,25406.25,25517.41016,25340.96094,25390.66992,25390.66992,253.9066992
N225,5/29/1991,25456.75,25649.76953,25456.75,25495.41016,25495.41016,254.9541016
N225,5/30/1991,25555.76953,25719.99023,25555.76953,25647.40039,25647.40039,256.4740039
N225,5/31/1991,25716.74023,25901.4707,25716.74023,25789.61914,25789.61914,257.8961914
N225,6/3/1991,25840.91016,26017.16016,25745.33984,25912.60938,25912.60938,259.1260938
N225,6/4/1991,25817.63086,25817.63086,25539.5,25556.85938,25556.85938,255.5685938
