Index,Date,Open,High,Low,Close,Adj Close,CloseUSD
GSPTSE,7/10/1984,2210.300049,2217.899902,2210.300049,2212.800049,2207.180664,1836.624041
GSPTSE,7/11/1984,2209,2211.899902,2196.800049,2196.800049,2191.221436,1823.344041
GSPTSE,7/12/1984,2191.199951,2191.199951,2175.600098,2175.600098,2170.075195,1805.748081
GSPTSE,7/13/1984,2179.800049,2181.800049,2175.699951,2176.300049,2170.773438,1806.329041
GSPTSE,7/16/1984,2182,2183.300049,2170.399902,2172.899902,2167.38208,1803.506919
GSPTSE,7/17/1984,2168.699951,2171.100098,2163.199951,2163.899902,2158.404785,1796.036919
GSPTSE,7/18/1984,2161.699951,2162,2150.899902,2151.600098,2146.13623,1785.828081
GSPTSE,7/19/1984,2146.300049,2146.300049,2129.300049,2130.5,2125.089844,1768.315
GSPTSE,7/20/1984,2127.600098,2129.600098,2119.300049,2119.600098,2114.217529,1759.268081
GSPTSE,7/23/1984,2105.399902,2105.399902,2086.600098,2090.199951,2084.891846,1734.865959
GSPTSE,7/24/1984,2095.300049,2095.300049,2079.699951,2079.699951,2074.418457,1726.150959
GSPTSE,7/25/1984,2082.100098,2096.199951,2077.399902,2095.5,2090.178467,1739.265
GSPTSE,7/26/1984,2107.399902,2126.800049,2107.399902,2126,2120.601074,1764.58
GSPTSE,7/27/1984,2131.399902,2151.399902,2131.399902,2149.899902,2144.44043,1784.416919
GSPTSE,7/30/1984,2144,2148.399902,2138.399902,2138.399902,2132.969482,1774.871919
GSPTSE,7/31/1984,2137.699951,2140.300049,2131.699951,2140,2134.565674,1776.2
GSPTSE,8/1/1984,2147.399902,2186.699951,2147.399902,2186.699951,2181.146973,1814.960959
GSPTSE,8/2/1984,2205,2253.300049,2205,2253.300049,2247.577881,1870.239041
GSPTSE,8/3/1984,2279.800049,2304.300049,2279.800049,2304.300049,2298.448486,1912.569041
GSPTSE,8/7/1984,2289.600098,2294.300049,2282.899902,2290.199951,2284.384033,1900.865959
GSPTSE,8/8/1984,2293.100098,2298.600098,2280,2280.5,2274.70874,1892.815
GSPTSE,8/9/1984,2277.399902,2323.399902,2277.399902,2323.399902,2317.499756,1928.421919
GSPTSE,8/10/1984,2344.199951,2376.600098,2344.199951,2352.699951,2346.725342,1952.740959
GSPTSE,8/13/1984,2339.5,2341.100098,2330,2340.699951,2334.755859,1942.780959
GSPTSE,8/14/1984,2345.300049,2347.5,2334.899902,2337.5,2331.564209,1940.125
GSPTSE,8/15/1984,2331.600098,2336.899902,2326,2326,2320.093018,1930.58
GSPTSE,8/16/1984,2322.600098,2336.800049,2322.600098,2333.199951,2327.274658,1936.555959
GSPTSE,8/17/1984,2341.899902,2342.5,2337.199951,2338.399902,2332.461914,1940.871919
GSPTSE,8/20/1984,2337.399902,2337.399902,2326,2332,2326.078125,1935.56
GSPTSE,8/21/1984,2335.699951,2360.699951,2335.699951,2359.5,2353.508057,1958.385
GSPTSE,8/22/1984,2365.899902,2370,2358.399902,2358.800049,2352.810059,1957.804041
GSPTSE,8/23/1984,2358.600098,2367.800049,2357,2367.699951,2361.687256,1965.190959
GSPTSE,8/24/1984,2373.100098,2377.399902,2368.899902,2376.5,2370.465088,1972.495
GSPTSE,8/27/1984,2369,2369,2360.800049,2364.899902,2358.894531,1962.866919
GSPTSE,8/28/1984,2365.199951,2378.100098,2365.199951,2378.100098,2372.060791,1973.823081
GSPTSE,8/29/1984,2386.600098,2394,2382.300049,2382.300049,2376.25,1977.309041
GSPTSE,8/30/1984,2379.199951,2384.899902,2378.300049,2380.100098,2374.055908,1975.483081
GSPTSE,8/31/1984,2381.800049,2389.800049,2381.800049,2388.800049,2382.733887,1982.704041
